y,c,i,pi,house_price_index,r
0.024378341178684995,0.011791066036852716,0.03994663400299818,0.006923665992986472,0.056196590650926324,0.005925995146609382
0.008916002452527164,0.007314239886822325,0.007435355460442975,-4.4102613905872825e-4,-0.009764463799425858,0.003158543460969211
3.6112899497094684e-4,-0.006464527201655251,0.0032761428281700977,-0.013810045562349774,-0.02120564111893488,6.540546950290751e-4
0.0060969894780462525,-0.005752359525615229,0.003604968629393056,-0.011187443926794929,-0.027876961386882934,-1.9314898784075253e-4
-0.0024122378421643316,0.001835508358624476,-0.02788762110164989,-0.008568641603826787,-0.0110651911568529,-0.0018224875417877898
0.009638967354963284,0.003462430544704225,-0.00692159064034437,-0.003942066812423147,0.014308326118439248,-0.002673260202842073
0.009699839020133137,0.002962323063097482,0.03971018613005022,0.0027092076294404,0.010851162730750426,-0.002450293818986697
0.0017448871421110387,0.005978539393832936,0.02792670899694452,0.0044045726955458005,0.01574194826801363,-0.001623411117244631
0.0017345500377786288,0.008306352011903766,-0.002723858822697295,1.617261049072097e-4,0.018248530341455023,-7.275700576687212e-4
0.0065176762061604915,0.008951949073027123,0.013066196158343073,9.956127186031005e-4,0.019079917844633514,2.3661936496987722e-4
0.007944247236528305,0.006743179176457075,0.013274985073748278,9.210763188972687e-4,0.013177714339644318,8.690018871860346e-4
0.008891991882380677,0.00961472722270625,0.02721542460859521,0.0069523384301041664,-0.005270401560070106,0.0015026076917247977
0.002267091684464255,0.009688838372696454,0.01053527038802557,0.020103044903838636,-0.027171987312529528,0.0027365905018184315
-0.0038717005106849584,9.383230787489774e-4,0.009214961122756306,0.017382496380197156,-0.031772306374778896,0.0038358315775585206
-0.009911690417715308,-8.904591728486205e-4,-0.01657381833559072,0.01678742909621085,-0.03023263971179248,0.0020635018099729907
-0.014591667103548353,-0.00458393195448244,-0.03004914090202239,0.012303715228673628,-0.022142410597060774,-0.0011529586379795012
-0.02530876344186174,-0.0019809080851033306,-0.03823283439372063,0.002906734811193893,-0.0119441469042541,-0.0013540659586381426
-0.025577842188624113,-0.002325312414942597,-0.05307415057422358,5.641780553624227e-4,-0.009296537500419607,-0.001079615745193537
-0.023547548199035276,-0.007465058295020449,-0.04270089681203803,-0.001758081536487122,-0.010054806160789565,-6.018906329453323e-4
-0.008846238813881371,-0.007903883771862106,-0.021320938285107095,-0.002094523073305839,-0.0147593663246578,-5.924984973524217e-4
-0.017464140370488518,-0.010510950595604435,-0.00889680283178984,-0.010478526863084047,0.004072652822531499,-5.893376988948826e-4
-0.01157458548953702,-0.012064203991528789,-0.02612110924582467,-0.009942164136891906,0.0022863466992876186,-3.299362864919329e-4
-0.0059039312828523816,-0.010007544306145193,-0.018889327831056978,-0.00551095704650977,0.002473265316105483,-2.18120639667598e-4
-0.002937458894603298,-0.009801852909025431,-0.0151708526667663,-0.0062042138911322115,0.008864529716793159,-1.241775944336044e-4
0.007000321353025241,-0.00847915135743036,0.03513925863793434,-0.010037798621800355,0.004892715154336015,-2.1825766140174795e-4
0.01055632697278125,-0.005997839087768485,0.056743690257817815,-0.004023697555872617,-0.0028951434493536352,-4.037670735207097e-4
0.012566684116423286,-0.008701214023694101,0.057670797482476006,-0.007167623386569516,-6.200691193347391e-4,-5.506423193674505e-4
0.005794508203716981,-0.007193198295504365,0.04426361137557962,-0.010472773996138924,0.0014937245839895773,-9.285675330979876e-4
0.0054116415162021834,-0.009134635513157775,-3.0508283661734997e-4,-0.0069378675022115175,-0.00399258835658443,-0.0012735493640851333
-0.005493333427929355,-0.013286907641451,-0.035851091733155385,-0.010555076538671044,0.0036332324638745604,-0.0016543474403273983
-0.009230853625765041,-0.012100429066466863,-0.03265913721852299,-0.008312237572212456,0.010316922818021015,-0.0021722587548037194
-0.015651936919081372,-0.007320789925184014,-0.0485493195694426,-1.9059014669340485e-4,0.03512994770821934,-0.002794213000009531
-0.008880683474878862,-0.0011011692006953483,-0.026929776507899315,0.008833821342510408,0.040487324060072515,-0.0036191155400519363
0.007278211105643962,0.0015034313570441455,-0.020047108529612327,0.005785071618865377,0.04511311258186572,-0.0042774586892463645
0.007833679647883127,0.004845134043858675,-0.023341293747259316,0.007681714267498784,0.031697069404347175,-0.0041974728146953934
0.00547791758974377,0.007464621785072383,-0.040558638267789146,0.007538687203775986,-0.010848245037098836,-0.0026047148718213488
0.005052232566716153,0.010177119148048605,-0.012230535434355067,-6.338727283545283e-4,-0.012999080975466086,-0.0016887850622036393
0.0018137182148737817,0.007863748366766668,0.007321895383491719,0.0021694596355527488,-0.01391990849059963,-0.0023043223072936143
9.88706133327709e-4,0.011677886340443085,0.02775157113448566,0.0019545056303992923,-0.00886007323673511,0.001295089962121299
-0.002364982114997559,0.002381615121126591,0.015849355108169115,-0.002274269321186369,0.0036227790746983304,0.005357308516695721
0.012695457207157014,0.011122783291035,0.017905030385270478,0.0024863786374060585,-0.0052064597219554296,0.005062714029191282
0.010705184962575401,0.011016937932195476,0.00967648700545236,0.0022411147811118685,-0.012247162029274098,0.004888338854546675
0.00947071866259417,0.009225640291551903,0.03309928754033139,9.930503982185047e-4,-0.01841544621250916,0.00380805115143234
0.0027325731962356097,-0.0018000675614303276,0.04840710857700931,0.001743896080274994,-0.019126776160643812,0.002825997200067962
