,Yhat,Chat,Ihat,qhat,Rhat,pihat
0,0.0243783411786849,0.0117910660368527,0.0399466340029981,0.0561965906509263,0.0059259951466093,0.0069236659929864
1,0.0089160024525271,0.0073142398868223,0.0074353554604429,-0.0097644637994258,0.0031585434609692,-0.00044102613905872825
2,0.0003611289949709469,-0.0064645272016552,0.00327614282817,-0.0212056411189348,0.0006540546950290751,-0.0138100455623497
3,0.0060969894780462,-0.0057523595256152,0.003604968629393,-0.0278769613868829,-0.00019314898784075253,-0.0111874439267949
4,-0.0024122378421643,0.0018355083586244,-0.0278876211016498,-0.0110651911568529,-0.0018224875417877,-0.0085686416038267
5,0.0096389673549632,0.0034624305447042,-0.0069215906403443,0.0143083261184392,-0.002673260202842,-0.0039420668124231
6,0.0096998390201331,0.0029623230630974,0.0397101861300502,0.0108511627307504,-0.0024502938189866,0.0027092076294404
7,0.001744887142111,0.0059785393938329,0.0279267089969445,0.0157419482680136,-0.0016234111172446,0.0044045726955458
8,0.0017345500377786,0.0083063520119037,-0.0027238588226972,0.018248530341455,-0.0007275700576687212,0.0001617261049072097
9,0.0065176762061604,0.0089519490730271,0.013066196158343,0.0190799178446335,0.0002366193649698772,0.0009956127186031003
10,0.0079442472365283,0.006743179176457,0.0132749850737482,0.0131777143396443,0.0008690018871860346,0.0009210763188972688
11,0.0088919918823806,0.0096147272227062,0.0272154246085952,-0.0052704015600701,0.0015026076917247,0.0069523384301041
12,0.0022670916844642,0.0096888383726964,0.0105352703880255,-0.0271719873125295,0.0027365905018184,0.0201030449038386
13,-0.0038717005106849,0.0009383230787489774,0.0092149611227563,-0.0317723063747788,0.0038358315775585,0.0173824963801971
14,-0.0099116904177153,-0.0008904591728486205,-0.0165738183355907,-0.0302326397117924,0.0020635018099729,0.0167874290962108
15,-0.0145916671035483,-0.0045839319544824,-0.0300491409020223,-0.0221424105970607,-0.0011529586379795,0.0123037152286736
16,-0.0253087634418617,-0.0019809080851033,-0.0382328343937206,-0.0119441469042541,-0.0013540659586381,0.0029067348111938
17,-0.0255778421886241,-0.0023253124149425,-0.0530741505742235,-0.0092965375004196,-0.0010796157451935,0.0005641780553624227
18,-0.0235475481990352,-0.0074650582950204,-0.042700896812038,-0.0100548061607895,-0.0006018906329453323,-0.0017580815364871
19,-0.0088462388138813,-0.0079038837718621,-0.021320938285107,-0.0147593663246578,-0.0005924984973524217,-0.0020945230733058
20,-0.0174641403704885,-0.0105109505956044,-0.0088968028317898,0.0040726528225314,-0.0005893376988948826,-0.010478526863084
21,-0.011574585489537,-0.0120642039915287,-0.0261211092458246,0.0022863466992876,-0.0003299362864919329,-0.0099421641368919
22,-0.0059039312828523,-0.0100075443061451,-0.0188893278310569,0.0024732653161054,-0.000218120639667598,-0.0055109570465097
23,-0.0029374588946032,-0.0098018529090254,-0.0151708526667663,0.0088645297167931,-0.0001241775944336044,-0.0062042138911322
24,0.0070003213530252,-0.0084791513574303,0.0351392586379343,0.004892715154336,-0.00021825766140174795,-0.0100377986218003
25,0.0105563269727812,-0.0059978390877684,0.0567436902578178,-0.0028951434493536,-0.0004037670735207097,-0.0040236975558726
26,0.0125666841164232,-0.0087012140236941,0.057670797482476,-0.0006200691193347391,-0.0005506423193674505,-0.0071676233865695
27,0.0057945082037169,-0.0071931982955043,0.0442636113755796,0.0014937245839895,-0.0009285675330979876,-0.0104727739961389
28,0.0054116415162021,-0.0091346355131577,-0.00030508283661735,-0.0039925883565844,-0.0012735493640851,-0.0069378675022115
29,-0.0054933334279293,-0.013286907641451,-0.0358510917331553,0.0036332324638745,-0.0016543474403273,-0.010555076538671
30,-0.009230853625765,-0.0121004290664668,-0.0326591372185229,0.010316922818021,-0.0021722587548037,-0.0083122375722124
31,-0.0156519369190813,-0.007320789925184,-0.0485493195694426,0.0351299477082193,-0.0027942130000095,-0.00019059014669340485
32,-0.0088806834748788,-0.0011011692006953,-0.0269297765078993,0.0404873240600725,-0.0036191155400519,0.0088338213425104
33,0.0072782111056439,0.0015034313570441,-0.0200471085296123,0.0451131125818657,-0.0042774586892463,0.0057850716188653
34,0.0078336796478831,0.0048451340438586,-0.0233412937472593,0.0316970694043471,-0.0041974728146953,0.0076817142674987
35,0.0054779175897437,0.0074646217850723,-0.0405586382677891,-0.0108482450370988,-0.0026047148718213,0.0075386872037759
36,0.0050522325667161,0.0101771191480486,-0.012230535434355,-0.012999080975466,-0.0016887850622036,-0.0006338727283545283
37,0.0018137182148737,0.0078637483667666,0.0073218953834917,-0.0139199084905996,-0.0023043223072936,0.0021694596355527
38,0.000988706133327709,0.011677886340443,0.0277515711344856,-0.0088600732367351,0.0012950899621212,0.0019545056303992
39,-0.0023649821149975,0.0023816151211265,0.0158493551081691,0.0036227790746983,0.0053573085166957,-0.0022742693211863
40,0.012695457207157,0.011122783291035,0.0179050303852704,-0.0052064597219554,0.0050627140291912,0.002486378637406
41,0.0107051849625754,0.0110169379321954,0.0096764870054523,-0.012247162029274,0.0048883388545466,0.0022411147811118
42,0.0094707186625941,0.0092256402915519,0.0330992875403313,-0.0184154462125091,0.0038080511514323,0.0009930503982185047
43,0.0027325731962356,-0.0018000675614303,0.0484071085770093,-0.0191267761606438,0.0028259972000679,0.0017438960802749
